ARTIGO,AUTOR,INSTITUIÇÃO,UF
https://even3.blob.core.windows.net/anais/790728.pdf,ANA PAULA AZEVEDO MOURA CARETA,IFES,ES
https://even3.blob.core.windows.net/anais/790728.pdf,ADRIANA VITORIANO BARBOSA,UFES,ES
https://even3.blob.core.windows.net/anais/790728.pdf,OZIRLEI TERESA MARCILINO,UFES,ES
https://even3.blob.core.windows.net/anais/801003.pdf,CLAUDIA ALESSANDRA COSTA DE ARAUJO LORENZONI,IFES,ES
https://even3.blob.core.windows.net/anais/801003.pdf,FABRICIA DE JESUS DA SILVA,IFES,ES
https://even3.blob.core.windows.net/anais/801676.pdf,APARECIDA FERREIRA LOPES, PMVV e PMV,ES
https://even3.blob.core.windows.net/anais/801676.pdf,SANDRA APARECIDA FRAGA DA SILVA,IFES,ES
https://even3.blob.core.windows.net/anais/801710.pdf,BIANCA BLANDINO FLORENTINO,IFES,ES
https://even3.blob.core.windows.net/anais/801710.pdf,CLAUDIA ALESSANDRA COSTA DE ARAUJO LORENZONI,IFES,ES
https://even3.blob.core.windows.net/anais/788449.pdf,JOSE PEDRO MACHADO RIBEIRO,UFG,GO
https://even3.blob.core.windows.net/anais/799464.pdf,RODRIGO BASTOS DAUDE,UEG,GO
https://even3.blob.core.windows.net/anais/799464.pdf,THAÍS REGINA DOMINGUES KUBO,UEG,GO
https://even3.blob.core.windows.net/anais/801769.pdf,JOSE PEDRO MACHADO RIBEIRO,UFG,GO
https://even3.blob.core.windows.net/anais/801959.pdf,JOSE PEDRO MACHADO RIBEIRO,UFG,GO
https://even3.blob.core.windows.net/anais/801959.pdf,LILIAN DE CAMPOS MARINHO CRUZ,UFG,GO
https://even3.blob.core.windows.net/anais/799128.pdf,MÔNICA MESQUITA,UNL,Lisboa - PT
https://even3.blob.core.windows.net/anais/800401.pdf,MÔNICA MESQUITA,UNL,Lisboa - PT
https://even3.blob.core.windows.net/anais/789028.pdf,RAYANE DE JESUS SANTOS MELO,UFMA,MA
https://even3.blob.core.windows.net/anais/793626.pdf,BENJAMIM CARDOSO DA SILVA NETO,IFMA,MA
https://even3.blob.core.windows.net/anais/793626.pdf,ANANDA ITSU MORAES CONCEIÇÃO,UFMA,MA
https://even3.blob.core.windows.net/anais/796162.pdf,DAYLA COSTA GUEDES,IFMA,MA
https://even3.blob.core.windows.net/anais/801296.pdf,ANTONIA GEANE DOS SANTOS FERREIRA,UFMA,MA
https://even3.blob.core.windows.net/anais/801296.pdf,KELLY ALMEIDA DE OLIVEIRA,UFMA,MA
https://even3.blob.core.windows.net/anais/801449.pdf,SYLIMAN LYANDRA LIMA COQUEIRO,UEMA,MA
https://even3.blob.core.windows.net/anais/801449.pdf,LAINE SILVA RAMOS,UEMA,MA
https://even3.blob.core.windows.net/anais/801449.pdf,MAURO GUTERRES BARBOSA,UEMA,MA
https://even3.blob.core.windows.net/anais/801577.pdf,HAYLTON GOMES FERREIRA,UEMA,MA
https://even3.blob.core.windows.net/anais/801577.pdf,MAURO GUTERRES BARBOSA,UEMA,MA
https://even3.blob.core.windows.net/anais/801577.pdf,RAYANE DE JESUS SANTOS MELO,UFMA,MA
https://even3.blob.core.windows.net/anais/788940.pdf,CRISTIANE COPPE DE OLIVEIRA,UFU,MG
https://even3.blob.core.windows.net/anais/788940.pdf,JANAINA APARECIDA DE OLIVEIRA,UFU,MG
https://even3.blob.core.windows.net/anais/793359.pdf,MILTON ROSA,UFOP,MG
https://even3.blob.core.windows.net/anais/794447.pdf,MILTON ROSA,UFOP,MG
https://even3.blob.core.windows.net/anais/794447.pdf,RODRIGO CARLOS PINHEIRO,UFOP,MG
https://even3.blob.core.windows.net/anais/797961.pdf,ERIC PAULUCCI,UFMG,MG
https://even3.blob.core.windows.net/anais/797961.pdf,WESLEY MARCIEL XAVIER DA COSTA,UFMG,MG
https://even3.blob.core.windows.net/anais/799701.pdf,CAROLINA TAMAYO OSORIO,UFMG,MG
https://even3.blob.core.windows.net/anais/799803.pdf,KYRLEYS PEREIRA VASCONCELOS,UFVJM,MG
https://even3.blob.core.windows.net/anais/799843.pdf,KYRLEYS PEREIRA VASCONCELOS,UFVJM,MG
